name	has_participant_tsv	has_participant_json	participant_columns	has_phenotype_dir	has_mri	nb_subjects	raw	fmriprep	freesurfer	mriqc
ds000171	True	False	['participant_id', 'sex', 'age', 'group']	False	True	39	https://github.com/OpenNeuroDatasets/ds000171	n/a	n/a	n/a
ds000172	True	False	['participant_id', 'Gender', 'Age']	False	True	13	https://github.com/OpenNeuroDatasets/ds000172	n/a	n/a	n/a
ds000174	True	False	['participant_id', 'group', 'gender', 'age at baseline ', 'age at onset first CB use', 'age at onset frequent CB use', 'cudit total baseline', 'cudit total follow-up', 'audit total baseline', 'audit total follow-up']	False	True	42	https://github.com/OpenNeuroDatasets/ds000174	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000174/tree/main/derivatives/mriqc
ds000200	True	False	['participant_id', 'MnExposition', 'age', 'gender', 'Obvolume_mm3', 'Id12items', 'avg_rating', 'BOLD in VOI Olf', 'notes']	False	True	14	https://github.com/OpenNeuroDatasets/ds000200	n/a	n/a	n/a
ds000201	True	True	['participant_id', 'Sex', 'AgeGroup', 'BMI1', 'BMI2', 'EducationLevel', 'HADS_Anxiety', 'HADS_Depression', 'ISI', 'KSQ_SleepQualityIndex', 'KSQ_WakeupSymptomIndex', 'KSQ_SnoringSymptomIndex', 'KSQ_SleepSymptomIndex', 'KSQ_WeekdayBedTime', 'KSQ_WeekendBedTime', 'KSQ_WeekdayRiseTime', 'KSQ_WeekendRiseTime', 'KSQ_NapFrequency', 'KSQ_NapDuration', 'KSQ_ConcernDisturbedSleep', 'KSQ_Panic', 'KSQ_Worry', 'KSQ_CompensatoryMorningSleep', 'KSQ_ConcernFatigue', 'KSQ_EnoughSleep', 'KSQ_HealthProblem', 'KSQ_TotalSleepRequirement', 'KSQ_OverallSleepQuality', 'KSQ_MorningOrEveningPerson', 'IRI_EC', 'IRI_PT', 'IRI_PD', 'IRI_F', 'TAS20_Total', 'TAS20_DIF', 'TAS20_DDF', 'TAS20_EOT', 'STAI_T', 'BFI_Extraversion', 'BFI_Agreeableness', 'BFI_Conscientiousness', 'BFI_Neuroticism', 'BFI_Openness', 'PAn/aS_Positive', 'PAn/aS_Negative', 'PSS14', 'SelfRatedHealth', 'SRH5', 'ESS', 'SicknessQ', 'ECS', 'BIS11_Total', 'BIS11_Attentional', 'BIS11_Motor', 'BIS11_Nonplanning', 'MenstrualPhaseSession1', 'MenstrualPhaseSession2', 'SleepDeprivedSession1', 'SleepDeprivedSession2', 'EverBeenInStudyBefore', 'MMSE', 'SawThroughEMGElectrodes', 'SawThroughZPG', 'TestTimeType_1', 'TestTimeType_2', 'Contraceptives', 'OtherDrugs', 'GeneralImpression1', 'GeneralImpression2', 'PVTEffort1', 'PVTEffort2', 'PVTMotivation1', 'PVTMotivation1.1', 'FellAsleepSession1', 'FellAsleepSession2', 'StrategyARROWS', 'SelfRatedHealth_byScanner.x', 'SRH5_byScanner.x', 'PAn/aS_Positive_byScanner.x', 'PAn/aS_Negative_byScanner.x', 'SicknessQ_byScanner.x', 'SelfRatedHealth_byScanner.y', 'SRH5_byScanner.y', 'PAn/aS_Positive_byScanner.y', 'PAn/aS_Negative_byScanner.y', 'SicknessQ_byScanner.y', 'PPIR_ME', 'PPIR_RN', 'PPIR_BE', 'PPIR_CN', 'PPIR_SOI', 'PPIR_FE', 'PPIR_STI', 'PPIR_C', 'PPIR_VR', 'PPIR_DR', 'PPIR_IR15', 'PPIR_IR40', 'BADD_Total', 'BADD_Activation', 'BADD_Attention', 'BADD_Effort', 'BADD_Affect', 'BADD_Memory', 'Sl_cond', 'Trial']	False	True	86	https://github.com/OpenNeuroDatasets/ds000201	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000201/tree/main/derivatives/mriqc
ds000202	True	False	['participant_id', 'Sex', 'Age (years)', 'Harm Avoidance (HA)', 'Novelty Seeking (NS)', 'Reward Dependence (RD)', 'Persistence (P)', 'Self-Directedness (SD)', 'Cooperativeness (CO)', 'Self-Transcedence (ST)', 'TR_class']	False	True	95	https://github.com/OpenNeuroDatasets/ds000202	n/a	n/a	n/a
ds000203	True	True	['participant_id', 'Age', 'Sex', 'Education', 'IQverbal', 'LSHS_14', 'LSHSvoice_items4910', 'LSHSaudit_items57', 'VisualScore', 'VisScore_high', 'DELUproneness', 'Hits', 'Omissions', 'FalseAlarms', 'CorrectRejections', 'TRhit', 'TRomission', 'TRfalseAlarm', 'TRcorrectRej', 'TRmean', 'Pr', 'Br']	False	True	26	https://github.com/OpenNeuroDatasets/ds000203	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000203/tree/main/derivatives/mriqc
ds000204	False	False	n/a	False	True	1	https://github.com/OpenNeuroDatasets/ds000204	n/a	n/a	n/a
ds000205	True	False	['participant_id', 'handedness']	False	True	11	https://github.com/OpenNeuroDatasets/ds000205	n/a	n/a	n/a
ds000206	False	False	n/a	False	True	6	https://github.com/OpenNeuroDatasets/ds000206	n/a	n/a	n/a
ds000208	True	False	['participant_id', 'type', 'study', 'gender', 'Age', 'Drug', 'Response', '% Analsesia VAS', '% Analgesia WOMAC']	False	True	76	https://github.com/OpenNeuroDatasets/ds000208	n/a	n/a	n/a
ds000210	True	False	['participant_id', 'gender', 'age', 'physioSampling', 'restAcquisiotion']	False	True	31	https://github.com/OpenNeuroDatasets/ds000210	n/a	n/a	n/a
ds000212	True	False	['participant_id', 'group', 'gender', 'age']	False	True	39	https://github.com/OpenNeuroDatasets/ds000212	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000212/tree/main/derivatives/mriqc
ds000213	True	False	['participant_id', 'gender', 'group']	False	True	26	https://github.com/OpenNeuroDatasets/ds000213	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000213/tree/main/derivatives/mriqc
ds000214	True	True	['participant_id', 'age', 'sex', 'group', 'hand', 'HAM-D', 'YMRS', 'Zanarini-1', 'Zanarini-2', 'Zanarini-3', 'Zanarini-4', 'Zanarini-5', 'Zanarini-6', 'Zanarini-7', 'Zanarini-8', 'Zanarini-9', 'CTQ-PhysAbuse', 'CTQ-EmotAbuse', 'CTQ-SexAbuse', 'CTQ-PhysNeglect', 'CTQ-EmotNeglect', 'drug-1', 'drug-2', 'drug-3']	False	True	36	https://github.com/OpenNeuroDatasets/ds000214	n/a	n/a	n/a
ds000216	False	False	n/a	False	True	7	https://github.com/OpenNeuroDatasets/ds000216	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000216/tree/main/derivatives/mriqc
ds000217	True	False	['participant_id', 'age', 'sex', 'route_group']	False	True	41	https://github.com/OpenNeuroDatasets/ds000217	n/a	n/a	n/a
ds000218	True	False	['participant_id', 'sex', 'age', 'handedness', 'scan_time']	False	True	19	https://github.com/OpenNeuroDatasets/ds000218	n/a	n/a	n/a
ds000219	True	False	['participant_id', 'sex', 'age', 'handedness', 'scan_time']	False	True	21	https://github.com/OpenNeuroDatasets/ds000219	n/a	n/a	n/a
ds000220	True	False	['participant_id', 'age', 'sex', 'months_injury_time1', 'months_time1_time2', 'months_time2_time3']	False	True	26	https://github.com/OpenNeuroDatasets/ds000220	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000220/tree/main/derivatives/mriqc
